description_id,unstructured_description,source_channel,clean_text,category,color,size,brand,material,features,season,annotated_text
DESC0231,"Looking for bevge Snakers by Classzc, size S please.",Website,looking bevge snakers classzc size s please,sneakers,beige,s,classic,,,,looking bevge(color:beige) snakers(category:sneakers) classzc(brand:classic) size s(size:s) please
DESC0234,"Do you have the Eliite Blose in oliev, size M?",Phone,eliite blose oliev size m,blouse,olive,m,elite,,,,eliite(brand:elite) blose(category:blouse) oliev(color:olive) size m(size:m)
DESC0008,Need Essetnial's burundy Boluse sz XS asap.,Phone,need essetnials burundy boluse sz xs asap,,burgundy,xs,essential,,,,need essetnials(brand:essential) burundy(color:burgundy) boluse sz xs(size:xs) asap
DESC0001,Do you carry Style Pants for Fall 2025?,Marketplace,carry style pants fall 2025,pants,,,style,,,fall 2025,carry style(brand:style) pants(category:pants) fall 2025(season:fall 2025)
DESC0002,"Looking for Green Boots, size L.",Email,looking green boots size l,boots,green,l,,,,,looking green(color:green) boots(category:boots) size l(size:l)
DESC0003,"Searching for the Modern blazer finished in dark grey, XXL size.",Website,searching modern blazer finished dark grey xxl size,blazer,gray,xxl,modern,,,,searching modern(brand:modern) blazer(category:blazer) finished dark grey(color:gray) xxl(size:xxl) size
DESC0004,"Need blue sundress that is breathable and flexible for Fall 2024, size M.",Website,need blue sundress breathable flexible fall 2024 size m,sundress,blue,m,,,breathable,fall 2024,need blue(color:blue) sundress(category:sundress) breathable(feature:breathable) flexible fall 2024(season:fall 2024) size m(size:m)
DESC0005,"Looking for Beige Gown, size L.",Marketplace,looking beige gown size l,gown,beige,l,,,,,looking beige(color:beige) gown(category:gown) size l(size:l)
DESC0006,Do you have any footwear options suitable for Fall 2025?,Email,footwear options suitable fall 2025,footwear,,,,,,fall 2025,footwear(category:footwear) options suitable fall 2025(season:fall 2025)
DESC0007,"Looking for naavy Santals by lite, size L please.",Email,looking naavy santals lite size l please,sandals,navy,l,elite,,,,looking naavy(color:navy) santals(category:sandals) lite(brand:elite) size l(size:l) please
DESC0008,Need Essetnial's burundy Boluse sz XS asap.,Phone,need essetnials burundy boluse sz xs asap,,burgundy,xs,essential,,,,need essetnials(brand:essential) burundy(color:burgundy) boluse sz xs(size:xs) asap
DESC0009,"White Polo from Alpine, size M",Chat,white polo alpine size m,polo,white,m,alpine,,,,white(color:white) polo(category:polo) alpine(brand:alpine) size m(size:m)
DESC0010,"After Black option in XS, preferably Coat.",Chat,black option xs preferably coat,coat,black,xs,,,,,black(color:black) option xs(size:xs) preferably coat(category:coat)
DESC0011,"Good afternoon, do you happen to have the olive gown from Urban in size XS? Thanks in advance!",Phone,good afternoon happen olive gown urban size xs thanks advance,gown,olive,xs,urban,,,,good afternoon happen olive(color:olive) gown(category:gown) urban(brand:urban) size xs(size:xs) thanks advance
DESC0012,Do you stock Nordic's sleeveless layer in that maroon? I need XS.,Marketplace,stock nordics sleeveless layer maroon need xs,,brown,xs,nordic,,,,stock nordics(brand:nordic) sleeveless layer maroon(color:brown) need xs(size:xs)
DESC0013,Do you stock Elite's pumps in that olive tone? I need XL.,Email,stock elites pumps olive tone need xl,,olive,xl,elite,,,,stock elites(brand:elite) pumps olive(color:olive) tone need xl(size:xl)
DESC0014,Looking for brown outerwear for Fall 2025.,Chat,looking brown outerwear fall 2025,outerwear,brown,,,,,fall 2025,looking brown(color:brown) outerwear(category:outerwear) fall 2025(season:fall 2025)
DESC0015,Nordic Vest in Green size M,Website,nordic vest green size m,vest,green,m,nordic,,,,nordic(brand:nordic) vest(category:vest) green(color:green) size m(size:m)
DESC0016,"Looking for Charcoal Parka, size XL.",Email,looking charcoal parka size xl,parka,charcoal,xl,,,,,looking charcoal(color:charcoal) parka(category:parka) size xl(size:xl)
DESC0017,Comfort Coat in Beige size XXL,Phone,comfort coat beige size xxl,coat,beige,xxl,comfort,,,,comfort(brand:comfort) coat(category:coat) beige(color:beige) size xxl(size:xxl)
DESC0018,Do you stock Urban's vest in that deep navy? I need XL.,Website,stock urbans vest deep navy need xl,vest,navy,xl,urban,,,,stock urbans(brand:urban) vest(category:vest) deep navy(color:navy) need xl(size:xl)
DESC0019,"Searching for the Premium ankle boots finished in ecru, XXL size.",Email,searching premium ankle boots finished ecru xxl size,boots,,xxl,premium,,,,searching premium(brand:premium) ankle boots(category:boots) finished ecru xxl(size:xxl) size
DESC0020,"Hello, I'm checking if you carry the charcoal turtleneck from Comfort in size XL? Appreciate your help.",Email,hello im checking carry charcoal turtleneck comfort size xl appreciate help,turtleneck,charcoal,xl,comfort,,,,hello im checking carry charcoal(color:charcoal) turtleneck(category:turtleneck) comfort(brand:comfort) size xl(size:xl) appreciate help
DESC0021,Looking for Style Heels White S,Marketplace,looking style heels white s,heels,white,s,style,,,,looking style(brand:style) heels(category:heels) white(color:white) s(size:s)
DESC0022,"Looking for biege Parrka by Elife, size S please.",Marketplace,looking biege parrka elife size s please,parka,beige,s,elite,,,,looking biege(color:beige) parrka(category:parka) elife(brand:elite) size s(size:s) please
DESC0023,"Tan Parka from Premium, size XXL",Chat,tan parka premium size xxl,parka,tan,xxl,premium,,,,tan(color:tan) parka(category:parka) premium(brand:premium) size xxl(size:xxl)
DESC0024,Do you stock Classic's lightweight dress in that navy blue? I need S.,Marketplace,stock classics lightweight dress navy blue need s,dress,navy,s,classic,,,,stock classics(brand:classic) lightweight dress(category:dress) navy(color:navy) blue need s(size:s)
DESC0025,"Need size XXL Vest this season, any brand works.",Phone,need size xxl vest season brand works,vest,,xxl,,,,,need size xxl(size:xxl) vest(category:vest) season brand works
DESC0026,"Need black sneakers that are well-ventilated and sweat-wicking for Fall 2024, size XL.",Website,need black sneakers well-ventilated sweat-wicking fall 2024 size xl,sneakers,black,xl,,,,fall 2024,need black(color:black) sneakers(category:sneakers) well-ventilated sweat-wicking fall 2024(season:fall 2024) size xl(size:xl)
DESC0027,"Hi there, could you help me find the olive sandals from Nordic in size M? Thanks in advance!",Chat,hi could help find olive sandals nordic size m thanks advance,sandals,olive,m,nordic,,,,hi could help find olive(color:olive) sandals(category:sandals) nordic(brand:nordic) size m(size:m) thanks advance
DESC0028,"Do you have the Norddic Turleneck in burguundy, size XS?",Phone,norddic turleneck burguundy size xs,turtleneck,burgundy,xs,nordic,,,,norddic(brand:nordic) turleneck(category:turtleneck) burguundy(color:burgundy) size xs(size:xs)
DESC0029,"Do you have the Clssic Patns in chaarcoal, size XL?",Website,clssic patns chaarcoal size xl,,charcoal,xl,classic,,,,clssic(brand:classic) patns chaarcoal(color:charcoal) size xl(size:xl)
DESC0030,"Want sundress with moisture-wicking performance, red in XS for Spring 2025.",Website,want sundress moisture-wicking performance red xs spring 2025,sundress,red,xs,,,moisture-wicking,spring 2025,want sundress(category:sundress) moisture-wicking(feature:moisture-wicking) performance red(color:red) xs(size:xs) spring 2025(season:spring 2025)
DESC0031,Need Alpine Parka Gray size L,Website,need alpine parka gray size l,parka,gray,l,alpine,,,,need alpine(brand:alpine) parka(category:parka) gray(color:gray) size l(size:l)
DESC0032,Looking for Urban Turtleneck Brown XL,Email,looking urban turtleneck brown xl,turtleneck,brown,xl,urban,,,,looking urban(brand:urban) turtleneck(category:turtleneck) brown(color:brown) xl(size:xl)
DESC0033,Do you stock Urban's jeans in that midnight blue? I need M.,Chat,stock urbans jeans midnight blue need m,jeans,blue,m,urban,,,,stock urbans(brand:urban) jeans(category:jeans) midnight blue(color:blue) need m(size:m)
DESC0034,"I want Comfort's midnight blue dress in XXL, please.",Chat,want comforts midnight blue dress xxl please,dress,blue,xxl,comfort,,,,want comforts(brand:comfort) midnight blue(color:blue) dress(category:dress) xxl(size:xxl) please
DESC0035,"Good afternoon, I'm checking if you carry the olive cardigan from Modern in size XS? Let me know what's possible.",Chat,good afternoon im checking carry olive cardigan modern size xs let know whats possible,cardigan,olive,xs,modern,,,,good afternoon im checking carry olive(color:olive) cardigan(category:cardigan) modern(brand:modern) size xs(size:xs) let know whats possible
DESC0036,"Searching for versatile footwear, preferably L.",Website,searching versatile footwear preferably l,footwear,,l,,,,,searching versatile footwear(category:footwear) preferably l(size:l)
DESC0037,"Looking for Green Pants, size XXL.",Marketplace,looking green pants size xxl,pants,green,xxl,,,,,looking green(color:green) pants(category:pants) size xxl(size:xxl)
DESC0038,Urban Gown in Gray size XS,Phone,urban gown gray size xs,gown,gray,xs,urban,,,,urban(brand:urban) gown(category:gown) gray(color:gray) size xs(size:xs)
DESC0039,"Need something leather in a dresses style, S size.",Chat,need something leather dresses style s size,dresses,,s,style,leather,,,need something leather(material:leather) dresses(category:dresses) style(brand:style) s(size:s) size
DESC0040,"Hello, I'm checking if you carry the green coat from Classic in size M? Thanks so much!",Email,hello im checking carry green coat classic size m thanks much,coat,green,m,classic,,,,hello im checking carry green(color:green) coat(category:coat) classic(brand:classic) size m(size:m) thanks much
DESC0041,"Need something denim in a bottoms style, L size.",Phone,need something denim bottoms style l size,bottoms,,l,style,denim,,,need something denim(material:denim) bottoms(category:bottoms) style(brand:style) l(size:l) size
DESC0042,"Hi, I'm checking if you carry the brown leggings from Urban in size XXL? Thanks in advance!",Chat,hi im checking carry brown leggings urban size xxl thanks advance,leggings,brown,xxl,urban,,,,hi im checking carry brown(color:brown) leggings(category:leggings) urban(brand:urban) size xxl(size:xxl) thanks advance
DESC0043,Need Premiuum's redd Boluse sz S asap.,Marketplace,need premiuums redd boluse sz s asap,,red,s,premium,,,,need premiuums(brand:premium) redd(color:red) boluse sz s(size:s) asap
DESC0044,"Searching for the Nordic day dress finished in olive tone, L size.",Website,searching nordic day dress finished olive tone l size,dress,olive,l,nordic,,,,searching nordic(brand:nordic) day dress(category:dress) finished olive(color:olive) tone l(size:l) size
DESC0045,Looking for the sage open-toe shoes from Essential in L.,Chat,looking sage open-toe shoes essential l,,,l,essential,,,,looking sage open-toe shoes essential(brand:essential) l(size:l)
DESC0046,Do you stock Style's polo shirt in that navy blue? I need M.,Email,stock styles polo shirt navy blue need m,shirt,navy,m,style,,,,stock styles(brand:style) polo shirt(category:shirt) navy(color:navy) blue need m(size:m)
DESC0047,"I want Urban's sage green bermuda shorts in XS, please.",Chat,want urbans sage green bermuda shorts xs please,shorts,green,xs,urban,,,,want urbans(brand:urban) sage green(color:green) bermuda shorts(category:shorts) xs(size:xs) please
DESC0048,Need Comfort Loafers Tan size M,Chat,need comfort loafers tan size m,loafers,tan,m,comfort,,,,need comfort(brand:comfort) loafers(category:loafers) tan(color:tan) size m(size:m)
DESC0049,"Need navy dress that is stretchy for Winter 2025, size XS.",Email,need navy dress stretchy winter 2025 size xs,dress,navy,xs,,,stretch,winter 2025,need navy(color:navy) dress(category:dress) stretchy(feature:stretch) winter 2025(season:winter 2025) size xs(size:xs)
DESC0050,"White Heels from Essential, size M",Marketplace,white heels essential size m,heels,white,m,essential,,,,white(color:white) heels(category:heels) essential(brand:essential) size m(size:m)
DESC0051,"Good afternoon, could you help me find the gray blazer from Essential in size XL? Thanks in advance!",Marketplace,good afternoon could help find gray blazer essential size xl thanks advance,blazer,gray,xl,essential,,,,good afternoon could help find gray(color:gray) blazer(category:blazer) essential(brand:essential) size xl(size:xl) thanks advance
DESC0052,Need Classic Sundress Red size XS,Email,need classic sundress red size xs,sundress,red,xs,classic,,,,need classic(brand:classic) sundress(category:sundress) red(color:red) size xs(size:xs)
DESC0053,"I want Alpine's sage sandals in XL, please.",Phone,want alpines sage sandals xl please,sandals,,xl,alpine,,,,want alpines(brand:alpine) sage sandals(category:sandals) xl(size:xl) please
DESC0054,"Need brown boots that are stretchy for Spring 2025, size XL.",Phone,need brown boots stretchy spring 2025 size xl,boots,brown,xl,,,stretch,spring 2025,need brown(color:brown) boots(category:boots) stretchy(feature:stretch) spring 2025(season:spring 2025) size xl(size:xl)
DESC0055,Alpine Skirt in Blue size S,Email,alpine skirt blue size s,skirt,blue,s,alpine,,,,alpine(brand:alpine) skirt(category:skirt) blue(color:blue) size s(size:s)
DESC0056,"Looking for blak Shirth by Esesntial, size S please.",Email,looking blak shirth esesntial size s please,shirt,black,s,essential,,,,looking blak(color:black) shirth(category:shirt) esesntial(brand:essential) size s(size:s) please
DESC0057,Do you carry Urban Sneakers for Spring 2025?,Chat,carry urban sneakers spring 2025,sneakers,,,urban,,,spring 2025,carry urban(brand:urban) sneakers(category:sneakers) spring 2025(season:spring 2025)
DESC0058,Need Nordic Heels Beige size S,Website,need nordic heels beige size s,heels,beige,s,nordic,,,,need nordic(brand:nordic) heels(category:heels) beige(color:beige) size s(size:s)
DESC0059,"Hey team, do you happen to have the burgundy dress from Style in size XXL? Appreciate your help.",Marketplace,hey team happen burgundy dress style size xxl appreciate help,dress,burgundy,xxl,style,,,,hey team happen burgundy(color:burgundy) dress(category:dress) style(brand:style) size xxl(size:xxl) appreciate help
DESC0060,Alpine Jeans in Tan size S,Marketplace,alpine jeans tan size s,jeans,tan,s,alpine,,,,alpine(brand:alpine) jeans(category:jeans) tan(color:tan) size s(size:s)
DESC0061,"Want sneakers with thermal performance, red in XXL for Winter 2025.",Phone,want sneakers thermal performance red xxl winter 2025,sneakers,red,xxl,,,,winter 2025,want sneakers(category:sneakers) thermal performance red(color:red) xxl(size:xxl) winter 2025(season:winter 2025)
DESC0062,"Good afternoon, do you happen to have the tan t-shirt from Nordic in size L? Appreciate your help.",Marketplace,good afternoon happen tan t-shirt nordic size l appreciate help,shirt,tan,l,nordic,,,,good afternoon happen tan(color:tan) t-shirt(category:shirt) nordic(brand:nordic) size l(size:l) appreciate help
DESC0063,"After Brown option in XS, preferably Sundress.",Email,brown option xs preferably sundress,sundress,brown,xs,,,,,brown(color:brown) option xs(size:xs) preferably sundress(category:sundress)
DESC0064,Need Style Parka Gray size S,Email,need style parka gray size s,parka,gray,s,style,,,,need style(brand:style) parka(category:parka) gray(color:gray) size s(size:s)
DESC0065,"Searching for versatile outerwear, preferably S.",Chat,searching versatile outerwear preferably s,outerwear,,s,,,,,searching versatile outerwear(category:outerwear) preferably s(size:s)
DESC0066,Need Urban Gown Black size XL,Marketplace,need urban gown black size xl,gown,black,xl,urban,,,,need urban(brand:urban) gown(category:gown) black(color:black) size xl(size:xl)
DESC0067,"Want cream option in outerwear, open to suggestions.",Website,want cream option outerwear open suggestions,outerwear,cream,,,,,,want cream(color:cream) option outerwear(category:outerwear) open suggestions
DESC0068,"Do you have the Alpien Turtleneckx in grmy, size L?",Website,alpien turtleneckx grmy size l,turtleneck,,l,alpine,,,,alpien(brand:alpine) turtleneckx(category:turtleneck) grmy size l(size:l)
DESC0069,Looking for the crimson slip-ons from Urban in XS.,Chat,looking crimson slip-ons urban xs,,brown,xs,urban,,,,looking crimson(color:brown) slip-ons urban(brand:urban) xs(size:xs)
DESC0070,Do you have any outerwear options suitable for Winter 2025?,Phone,outerwear options suitable winter 2025,outerwear,,,,,,winter 2025,outerwear(category:outerwear) options suitable winter 2025(season:winter 2025)
DESC0071,Do you stock Comfort's turtleneck in that cedar brown? I need XL.,Website,stock comforts turtleneck cedar brown need xl,turtleneck,brown,xl,comfort,,,,stock comforts(brand:comfort) turtleneck(category:turtleneck) cedar brown(color:brown) need xl(size:xl)
DESC0072,"Beige Sandals from Classic, size XL",Marketplace,beige sandals classic size xl,sandals,beige,xl,classic,,,,beige(color:beige) sandals(category:sandals) classic(brand:classic) size xl(size:xl)
DESC0073,"Looking for high-stretch olive t-shirt in L, ideally cashmere.",Chat,looking high-stretch olive t-shirt l ideally cashmere,shirt,olive,l,,cashmere,stretch,,looking high-stretch(feature:stretch) olive(color:olive) t-shirt(category:shirt) l(size:l) ideally cashmere(material:cashmere)
DESC0074,Need Modern Jeans Green size XXL,Website,need modern jeans green size xxl,jeans,green,xxl,modern,,,,need modern(brand:modern) jeans(category:jeans) green(color:green) size xxl(size:xxl)
DESC0075,"Hi, I'm checking if you carry the red sneakers from Style in size S? Thanks in advance!",Chat,hi im checking carry red sneakers style size s thanks advance,sneakers,red,s,style,,,,hi im checking carry red(color:red) sneakers(category:sneakers) style(brand:style) size s(size:s) thanks advance
DESC0076,"I want Classic's dark grey denim pants in L, please.",Chat,want classics dark grey denim pants l please,pants,gray,l,classic,denim,,,want classics(brand:classic) dark grey(color:gray) denim(material:denim) pants(category:pants) l(size:l) please
DESC0077,Classic Jacket in Burgundy size L,Chat,classic jacket burgundy size l,jacket,burgundy,l,classic,,,,classic(brand:classic) jacket(category:jacket) burgundy(color:burgundy) size l(size:l)
DESC0078,"Searching for versatile tops, preferably M.",Phone,searching versatile tops preferably m,tops,,m,,,,,searching versatile tops(category:tops) preferably m(size:m)
DESC0079,"Searching for the Modern pumps finished in khaki, XS size.",Email,searching modern pumps finished khaki xs size,,tan,xs,modern,,,,searching modern(brand:modern) pumps finished khaki(color:tan) xs(size:xs) size
DESC0080,Looking for the dark black skirt from Classic in XL.,Email,looking dark black skirt classic xl,skirt,black,xl,classic,,,,looking dark black(color:black) skirt(category:skirt) classic(brand:classic) xl(size:xl)
DESC0081,"After Brown option in XL, preferably Polo.",Marketplace,brown option xl preferably polo,polo,brown,xl,,,,,brown(color:brown) option xl(size:xl) preferably polo(category:polo)
DESC0082,Do you stock Style's skirt in that off-white? I need S.,Email,stock styles skirt off-white need s,skirt,,s,style,,,,stock styles(brand:style) skirt(category:skirt) off-white need s(size:s)
DESC0083,"Need something wool in a tops style, S size.",Email,need something wool tops style s size,tops,,s,style,wool,,,need something wool(material:wool) tops(category:tops) style(brand:style) s(size:s) size
DESC0084,"Good afternoon, could you help me find the red boots from Comfort in size XS? Appreciate your help.",Website,good afternoon could help find red boots comfort size xs appreciate help,boots,red,xs,comfort,,,,good afternoon could help find red(color:red) boots(category:boots) comfort(brand:comfort) size xs(size:xs) appreciate help
DESC0085,Style Jeans in Brown size M,Chat,style jeans brown size m,jeans,brown,m,style,,,,style(brand:style) jeans(category:jeans) brown(color:brown) size m(size:m)
DESC0086,"Do you have the Prrmium T-Shirrt in urgundy, size XS?",Marketplace,prrmium t-shirrt urgundy size xs,t-shirt,burgundy,xs,premium,,,,prrmium(brand:premium) t-shirrt(category:t-shirt) urgundy(color:burgundy) size xs(size:xs)
DESC0087,Do you carry Essential Skirt for Fall 2025?,Website,carry essential skirt fall 2025,skirt,,,essential,,,fall 2025,carry essential(brand:essential) skirt(category:skirt) fall 2025(season:fall 2025)
DESC0088,Need Nordic Cardigan Burgundy size L,Email,need nordic cardigan burgundy size l,cardigan,burgundy,l,nordic,,,,need nordic(brand:nordic) cardigan(category:cardigan) burgundy(color:burgundy) size l(size:l)
DESC0089,"Hey team, I'm checking if you carry the gray cardigan from Nordic in size S? Let me know what's possible.",Chat,hey team im checking carry gray cardigan nordic size s let know whats possible,cardigan,gray,s,nordic,,,,hey team im checking carry gray(color:gray) cardigan(category:cardigan) nordic(brand:nordic) size s(size:s) let know whats possible
DESC0090,"Hello, could you help me find the cream shirt from Style in size S? Thanks so much!",Chat,hello could help find cream shirt style size s thanks much,shirt,cream,s,style,,,,hello could help find cream(color:cream) shirt(category:shirt) style(brand:style) size s(size:s) thanks much
DESC0091,"Hello, I'm hoping to order the cream skirt from Urban in size XXL? Let me know what's possible.",Chat,hello im hoping order cream skirt urban size xxl let know whats possible,skirt,cream,xxl,urban,,,,hello im hoping order cream(color:cream) skirt(category:skirt) urban(brand:urban) size xxl(size:xxl) let know whats possible
DESC0092,Looking for Urban Jacket Gray L,Chat,looking urban jacket gray l,jacket,gray,l,urban,,,,looking urban(brand:urban) jacket(category:jacket) gray(color:gray) l(size:l)
DESC0093,"After Black option in XXL, preferably Shorts.",Marketplace,black option xxl preferably shorts,shorts,black,xxl,,,,,black(color:black) option xxl(size:xxl) preferably shorts(category:shorts)
DESC0094,Elite Shorts in Burgundy size XXL,Email,elite shorts burgundy size xxl,shorts,burgundy,xxl,elite,,,,elite(brand:elite) shorts(category:shorts) burgundy(color:burgundy) size xxl(size:xxl)
DESC0095,Nordic Sundress in Burgundy size S,Phone,nordic sundress burgundy size s,sundress,burgundy,s,nordic,,,,nordic(brand:nordic) sundress(category:sundress) burgundy(color:burgundy) size s(size:s)
DESC0096,"Do you have the Elste Ylazer in nayv, size XL?",Chat,elste ylazer nayv size xl,,,xl,elite,,,,elste(brand:elite) ylazer nayv size xl(size:xl)
DESC0097,"Need size XL Shorts this season, any brand works.",Phone,need size xl shorts season brand works,shorts,,xl,,,,,need size xl(size:xl) shorts(category:shorts) season brand works
DESC0098,Do you stock Premium's sleeveless layer in that slate? I need L.,Chat,stock premiums sleeveless layer slate need l,,,l,premium,,,,stock premiums(brand:premium) sleeveless layer slate need l(size:l)
DESC0099,"Searching for the Nordic athletic shoes finished in noir, XXL size.",Marketplace,searching nordic athletic shoes finished noir xxl size,,,xxl,nordic,,,,searching nordic(brand:nordic) athletic shoes finished noir xxl(size:xxl) size
DESC0100,"Searching for the Alpine silky top finished in maroon, XL size.",Website,searching alpine silky top finished maroon xl size,tops,brown,xl,alpine,silk,,,searching alpine(brand:alpine) silky(material:silk) top(category:tops) finished maroon(color:brown) xl(size:xl) size
DESC0101,"Do you have the Apline Jeaans in blcak, size S?",Phone,apline jeaans blcak size s,jeans,black,s,alpine,,,,apline(brand:alpine) jeaans(category:jeans) blcak(color:black) size s(size:s)
DESC0102,"Need black t-shirt that is quick-drying and sweat-wicking for Summer 2025, size M.",Email,need black t-shirt quick-drying sweat-wicking summer 2025 size m,shirt,black,m,,,,summer 2025,need black(color:black) t-shirt(category:shirt) quick-drying sweat-wicking summer 2025(season:summer 2025) size m(size:m)
DESC0103,Need Nordic Loafers Blue size XL,Marketplace,need nordic loafers blue size xl,loafers,blue,xl,nordic,,,,need nordic(brand:nordic) loafers(category:loafers) blue(color:blue) size xl(size:xl)
DESC0104,"Need tan turtleneck that is fast-drying for Spring 2025, size XS.",Marketplace,need tan turtleneck fast-drying spring 2025 size xs,turtleneck,tan,xs,,,,spring 2025,need tan(color:tan) turtleneck(category:turtleneck) fast-drying spring 2025(season:spring 2025) size xs(size:xs)
DESC0105,Looking for Alpine Sneakers Blue S,Website,looking alpine sneakers blue s,sneakers,blue,s,alpine,,,,looking alpine(brand:alpine) sneakers(category:sneakers) blue(color:blue) s(size:s)
DESC0106,"Want gown with airy and no-iron performance, navy in M for Winter 2025.",Phone,want gown airy no-iron performance navy m winter 2025,gown,navy,m,,,,winter 2025,want gown(category:gown) airy no-iron performance navy(color:navy) m(size:m) winter 2025(season:winter 2025)
DESC0107,"Do you have the lEite Doafers in oliev, size XXL?",Email,leite doafers oliev size xxl,loafers,olive,xxl,elite,,,,leite(brand:elite) doafers(category:loafers) oliev(color:olive) size xxl(size:xxl)
DESC0108,"I want Essential's ecru gown in S, please.",Phone,want essentials ecru gown s please,gown,,s,essential,,,,want essentials(brand:essential) ecru gown(category:gown) s(size:s) please
DESC0109,"Do you have the Alpne Skiirt in uream, size L?",Marketplace,alpne skiirt uream size l,skirt,cream,l,alpine,,,,alpne(brand:alpine) skiirt(category:skirt) uream(color:cream) size l(size:l)
DESC0110,Do you carry Premium Jeans for Spring 2025?,Email,carry premium jeans spring 2025,jeans,,,premium,,,spring 2025,carry premium(brand:premium) jeans(category:jeans) spring 2025(season:spring 2025)
DESC0111,Urban Shirt in Navy size XL,Phone,urban shirt navy size xl,shirt,navy,xl,urban,,,,urban(brand:urban) shirt(category:shirt) navy(color:navy) size xl(size:xl)
DESC0112,"Do you have the Wodern Turtleneeck in rgay, size XXL?",Marketplace,wodern turtleneeck rgay size xxl,turtleneck,,xxl,modern,,,,wodern(brand:modern) turtleneeck(category:turtleneck) rgay size xxl(size:xxl)
DESC0113,"Need something cotton in a outerwear style, XL size.",Phone,need something cotton outerwear style xl size,outerwear,,xl,style,cotton,,,need something cotton(material:cotton) outerwear(category:outerwear) style(brand:style) xl(size:xl) size
DESC0114,"Need beige blazer that is high-stretch for Summer 2025, size XS.",Phone,need beige blazer high-stretch summer 2025 size xs,blazer,beige,xs,,,stretch,summer 2025,need beige(color:beige) blazer(category:blazer) high-stretch(feature:stretch) summer 2025(season:summer 2025) size xs(size:xs)
DESC0115,"I want Elite's emerald sandals in XS, please.",Email,want elites emerald sandals xs please,sandals,,xs,elite,,,,want elites(brand:elite) emerald sandals(category:sandals) xs(size:xs) please
DESC0116,"Hello, do you happen to have the charcoal shorts from Comfort in size S? Thanks so much!",Chat,hello happen charcoal shorts comfort size s thanks much,shorts,charcoal,s,comfort,,,,hello happen charcoal(color:charcoal) shorts(category:shorts) comfort(brand:comfort) size s(size:s) thanks much
DESC0117,"Looking for nnavy Boost by ordic, size S please.",Phone,looking nnavy boost ordic size s please,,navy,s,nordic,,,,looking nnavy(color:navy) boost ordic(brand:nordic) size s(size:s) please
DESC0118,"Want boots with sweat-wicking performance, green in XXL for Winter 2024.",Email,want boots sweat-wicking performance green xxl winter 2024,boots,green,xxl,,,,winter 2024,want boots(category:boots) sweat-wicking performance green(color:green) xxl(size:xxl) winter 2024(season:winter 2024)
DESC0119,"Want gown with sweat-wicking and stretchy performance, white in S for Spring 2024.",Website,want gown sweat-wicking stretchy performance white s spring 2024,gown,white,s,,,stretch,spring 2024,want gown(category:gown) sweat-wicking stretchy(feature:stretch) performance white(color:white) s(size:s) spring 2024(season:spring 2024)
DESC0120,Looking for Essential Gown Beige M,Email,looking essential gown beige m,gown,beige,m,essential,,,,looking essential(brand:essential) gown(category:gown) beige(color:beige) m(size:m)
DESC0121,Looking for the cobalt sandals from Premium in XXL.,Marketplace,looking cobalt sandals premium xxl,sandals,,xxl,premium,,,,looking cobalt sandals(category:sandals) premium(brand:premium) xxl(size:xxl)
DESC0122,Need Comfort Jacket Cream size XXL,Marketplace,need comfort jacket cream size xxl,jacket,cream,xxl,comfort,,,,need comfort(brand:comfort) jacket(category:jacket) cream(color:cream) size xxl(size:xxl)
DESC0123,"Looking for heat-retaining brown sandals in M, ideally nylon.",Website,looking heat-retaining brown sandals m ideally nylon,sandals,brown,m,,nylon,,,looking heat-retaining brown(color:brown) sandals(category:sandals) m(size:m) ideally nylon(material:nylon)
